family,var_norm,count
RCP,drought severity,11
SSP,rainfall intensity,11
SRES,mean annual runoff,11
Custom/Regional,lake level,11
Custom/Regional,gpp,11
Custom/Regional,net present value (npv),11
RCP,sea level rise,11
SSP,annual rainfall,11
SSP,suitable area,11
SSP,peak discharge,11
Custom/Regional,mean temperature change,10
Custom/Regional,water consumption,10
Custom/Regional,water deficit,10
Custom/Regional,near-surface temperature change,10
RCP,net present value (npv),10
SSP,ndvi,10
Custom/Regional,enso amplitude,10
SSP,potential suitable area,10
RCP,average temperature increase,10
SSP,maximum temperature increase,10
RCP,co2 concentration,10
RCP,mean annual rainfall,10
Custom/Regional,evapotranspiration (et),10
RCP,discharge,10
SSP,annual streamflow,10
RCP,vulnerability index,10
RCP,habitat loss,10
RCP,global mean temperature change,10
Custom/Regional,pm2.5 concentration,10
SSP,area of suitable habitats,10
Custom/Regional,cumulative co2 emissions,10
Custom/Regional,cumulative ghg emissions,10
RCP,gdp loss,10
RCP,ch4 emissions,9
SRES,mean annual temperature increase,9
Custom/Regional,heat-related mortality,9
RCP,annual mean temperature increase,9
RCP,genomic vulnerability,9
Custom/Regional,maize yield change,9
Custom/Regional,annual precipitation,9
SSP,cropland area,9
SRES,grain yield,9
SSP,rice yield,9
RCP,river discharge,9
RCP,surface runoff,9
Custom/Regional,carbon price,9
Custom/Regional,discharge,9
SSP,pm2.5 concentration,9
Custom/Regional,co₂ emissions,9
SSP,annual average precipitation,9
Custom/Regional,river flow,9
Custom/Regional,sea-level rise,9
Custom/Regional,population size,9
Custom/Regional,annual average runoff,9
RCP,suitable area,9
RCP,net primary production (npp),9
RCP,peak discharge,9
Custom/Regional,co2 concentration,9
Custom/Regional,co emissions,9
SSP,mean temperature increase,8
SSP,distribution area,8
Custom/Regional,atmospheric co2 concentration,8
SSP,average nsat increase,8
SSP,surface air temperature,8
Custom/Regional,carbon footprint,8
Custom/Regional,soil erosion,8
SSP,mean discharge,8
SSP,sea level rise,8
SRES,species richness,8
Custom/Regional,rice yield,8
Custom/Regional,soil loss,8
Custom/Regional,mean annual streamflow,8
SRES,precipitation change,8
SSP,area of highly suitable habitats,8
Custom/Regional,soil temperature,8
Custom/Regional,cumulative emissions,8
RCP,coral cover,8
RCP,net ecosystem productivity (nep),8
RCP,water availability,8
SRES,mean temperature increase,8
RCP,irrigation water requirement (iwr),8
RCP,potential evapotranspiration (pet),8
Custom/Regional,total water overflow volume,8
RCP,unmet water demand,8
RCP,annual discharge,8
SRES,potential distribution area,8
